np_name,np_name_adj,domain
DENVER POST / ROCKY MOUNTAIN NEWS,denver post / rocky mountain news,denverpost.com
THE DENVER POST / ROCKY MOUNTAIN NEWS,the denver post / rocky mountain news,denverpost.com
THE DENVER POST/THE SUNDAY DENVER POST,the denver post/the sunday denver post,denverpost.com
THE DENVER POST/THE SUNDAY DENVER POST - VIVA COLORADO,the denver post/the sunday denver post - viva colorado,denverpost.com
DENVER POST,denver post,denverpost.com
ROCKY MOUNTAIN NEWS,rocky mountain news,
DURANGO HERALD,durango herald,
FORT COLLINS COLORADOAN,fort collins coloradoan,
THE FORT MORGAN TIMES,the fort morgan times,
GRAND JUNCTION DAILY SENTINEL,grand junction daily sentinel,
GREELEY TRIBUNE,greeley tribune,
THE GREELEY DAILY TRIBUNE,the greeley daily tribune,
THE GREELEY TRIBUNE,the greeley tribune,
THE LAMAR DAILY NEWS,the lamar daily news,
DAILY TIMES-CALL,daily times-call,
LONGMONT DAILY TIMES-CALL,longmont daily times-call,
DAILY REPORTER - HERALD,daily reporter - herald,
REPORTER-HERALD,reporter-herald,
PUEBLO CHIEFTAIN,pueblo chieftain,
"PUEBLO CHIEFTAIN,SUN CHIEFTAIN & STAR JR","pueblo chieftain,sun chieftain & star jr",
PUEBLO CHIEFTAIN/CHIEFTAIN STAR-JRNL AND,pueblo chieftain/chieftain star-jrnl and,
THE PUEBLO CHIEFTAIN THE SUNDAY CHIEFTAIN,the pueblo chieftain the sunday chieftain,
THE PUEBLO CHIEFTAIN THE SUNDAY CHIEFTO,the pueblo chieftain the sunday chiefto,
STERLING JOURNAL-ADVOCATE,sterling journal-advocate,
CONNECTICUT POST,connecticut post,
CONNECTICUT POST - WESTPORT NEWS,connecticut post - westport news,
BRISTOL PRESS,bristol press,
THE NEWS-TIMES,the news-times,
GREENWICH TIME,greenwich time,
"GREENWICH TIME, SUNDAY GREENWICH TIM","greenwich time, sunday greenwich tim",
"GREENWICH TIME, SUNDAY GREENWICH TIME","greenwich time, sunday greenwich time",
HARTFORD COURANT,hartford courant,courant.com
THE HARTFORD COURANT,the hartford courant,
MERIDEN RECORD-JOURNAL,meriden record-journal,
THE MIDDLETOWN PRESS,the middletown press,
"THE HERALD, THE HERALD PRESS","the herald, the herald press",
NEW HAVEN REGISTER,new haven register,
NEW HAVEN REGISTER - SHORELINE NEWS,new haven register - shoreline news,
NEW HAVEN REGISTER - MIDDLETOWN PRESS,new haven register - middletown press,
NEW HAVEN REGISTER - MILFORD ORANGE BULLETIN,new haven register - milford orange bulletin,
NEW HAVEN REGISTER - SHORELINE TIMES,new haven register - shoreline times,
NEW LONDON DAY,new london day,
THE HOUR / THE SUNDAY HOUR,the hour / the sunday hour,
NORWICH BULLETIN SUNDAY BULLETIN,norwich bulletin sunday bulletin,
THE BULLETIN,the bulletin,
JOURNAL INQUIRER,journal inquirer,
"THE ADVOCATE, THE SUNDAY ADVOCATE","the advocate, the sunday advocate",
REGISTER CITIZEN,register citizen,
TORRINGTON REGISTER CITIZEN,torrington register citizen,
REPUBLICIAN-AMERICAN,republician-american,
REPUBLICIAN-AMERICAN THE SUNDAY REPUBLI,republician-american the sunday republi,
CHRONICLE,chronicle,
WILLIMANTIC CHRONICLE,willimantic chronicle,
THE NEWS JOURNAL,the news journal,delawareonline.com
THE NEWS JOURNAL MEDIA GROUP,the news journal media group,
THE NEWS JOURNAL MEDIA GROUP - YES! YOUR ESSENTIAL SHOPPER,the news journal media group - yes! your essential shopper,
WILMINGTON NEWS JOURNAL,wilmington news journal,
THE WASHINGTON POST,the washington post,washingtonpost.com
THE WASHINGTON POST - SAVINGS NOW!,the washington post - savings now!,
THE WASHINGTON TIMES SUNDAY TIMES,the washington times sunday times,washingtontimes.com
"THE WASHINGTON TIMES, SUNDAY TIMES","the washington times, sunday times",washingtontimes.com
BRADENTON HERALD,bradenton herald,
FLORIDA TODAY,florida today,
DAYTONA BEACH NEWS-JOURNAL,daytona beach news-journal,news-journalonline.com
THE DAYTONA BEACH NEWS-JOURNAL,the daytona beach news-journal,
SOUTH FLORIDA SUN SENTINEL,south florida sun sentinel,sun-sentinel.com
SOUTH FLORIDA SUN SENTINEL - EL SENTINEL,south florida sun sentinel - el sentinel,sun-sentinel.com
SOUTH FLORIDA SUN-SENTINEL,south florida sun-sentinel,sun-sentinel.com
THE NEWS-PRESS,the news-press,
NORTHWEST FLORIDA DAILY NEWS,northwest florida daily news,
GAINESVILLE SUN,gainesville sun,
CITRUS COUNTY CHRONICLE,citrus county chronicle,
THE FLORIDA TIMES-UNION,the florida times-union,jacksonville.com
THE CITIZEN,the citizen,
LAKE CITY REPORTER,lake city reporter,
LAKELAND LEDGER,lakeland ledger,
THE DAILY COMMERCIAL,the daily commercial,
JACKSON COUNTY FLORIDAN,jackson county floridan,
MIAMI HERALD / EL NUEVO HERALD,miami herald / el nuevo herald,
THE MIAMI HERALD/EL NUEVO HERALD,the miami herald/el nuevo herald,
THE MIAMI HERALD,the miami herald,miamiherald.com
EL NUEVO HERALD,el nuevo herald,
NAPLES DAILY NEWS,naples daily news,
